,fracs,gains,besty
0,0.0,0.0,0.0
1,0.01,0.008472012102874432,0.0453857791225416
2,0.02,0.01422087745839637,0.0907715582450832
3,0.03,0.020574886535552193,0.1361573373676248
4,0.04,0.02995461422087746,0.1815431164901664
5,0.05,0.04084720121028744,0.22692889561270804
6,0.06,0.05446293494704992,0.2723146747352496
7,0.07,0.0686838124054463,0.3177004538577913
8,0.08,0.08139183055975795,0.3630862329803328
9,0.09,0.09258698940998487,0.4084720121028744
10,0.1,0.10499243570347958,0.4538577912254161
11,0.11,0.11739788199697428,0.49924357034795763
12,0.12,0.13101361573373677,0.5446293494704992
13,0.13,0.1409984871406959,0.5900151285930408
14,0.14,0.15037821482602118,0.6354009077155826
15,0.15,0.16338880484114976,0.680786686838124
16,0.16,0.1773071104387292,0.7261724659606656
17,0.17,0.18880484114977308,0.7715582450832074
18,0.18,0.2,0.8169440242057489
19,0.19,0.2118003025718608,0.8623298033282905
20,0.2,0.22450832072617247,0.9077155824508322
21,0.21,0.23963691376701968,0.9531013615733737
22,0.22,0.2520423600605144,0.9984871406959153
23,0.23,0.26202723146747353,1.0
24,0.24,0.2717095310136157,1.0
25,0.25,0.2813918305597579,1.0
26,0.26,0.2944024205748865,1.0
27,0.27,0.30499243570347956,1.0
28,0.28,0.31497730711043875,1.0
29,0.29,0.32829046898638425,1.0
30,0.3,0.33706505295007566,1.0
31,0.31,0.351285930408472,1.0
32,0.32,0.3627836611195159,1.0
33,0.33,0.3757942511346445,1.0
34,0.34,0.38456883509833584,1.0
35,0.35000000000000003,0.39334341906202724,1.0
36,0.36,0.4027231467473525,1.0
37,0.37,0.41270801815431163,1.0
38,0.38,0.4205748865355522,1.0
39,0.39,0.4290468986384266,1.0
40,0.4,0.4402420574886536,1.0
41,0.41000000000000003,0.4502269288956127,1.0
42,0.42,0.46081694402420575,1.0
43,0.43,0.4735249621785174,1.0
44,0.44,0.4832072617246596,1.0
45,0.45,0.49198184568835096,1.0
46,0.46,0.5031770045385779,1.0
47,0.47000000000000003,0.513464447806354,1.0
48,0.48,0.5252647503782149,1.0
49,0.49,0.535249621785174,1.0
50,0.5,0.5467473524962179,1.0
51,0.51,0.5558245083207262,1.0
52,0.52,0.5661119515885022,1.0
53,0.53,0.5739788199697428,1.0
54,0.54,0.5848714069591529,1.0
55,0.55,0.594553706505295,1.0
56,0.56,0.6036308623298033,1.0
57,0.5700000000000001,0.6145234493192133,1.0
58,0.58,0.6236006051437216,1.0
59,0.59,0.6308623298033282,1.0
60,0.6,0.6408472012102875,1.0
61,0.61,0.6505295007564297,1.0
62,0.62,0.659304084720121,1.0
63,0.63,0.6714069591527988,1.0
64,0.64,0.6819969742813918,1.0
65,0.65,0.6937972768532527,1.0
66,0.66,0.702571860816944,1.0
67,0.67,0.713161875945537,1.0
68,0.68,0.7234493192133131,1.0
69,0.6900000000000001,0.7319213313161876,1.0
70,0.7000000000000001,0.7422087745839637,1.0
71,0.71,0.7509833585476551,1.0
72,0.72,0.7570347957639939,1.0
73,0.73,0.7676248108925869,1.0
74,0.74,0.7763993948562784,1.0
75,0.75,0.7869894099848714,1.0
76,0.76,0.794553706505295,1.0
77,0.77,0.8030257186081694,1.0
78,0.78,0.8133131618759455,1.0
79,0.79,0.8239031770045385,1.0
80,0.8,0.8341906202723147,1.0
81,0.81,0.8429652042360061,1.0
82,0.8200000000000001,0.8502269288956127,1.0
83,0.8300000000000001,0.8599092284417549,1.0
84,0.84,0.869894099848714,1.0
85,0.85,0.8765506807866869,1.0
86,0.86,0.8816944024205748,1.0
87,0.87,0.8910741301059002,1.0
88,0.88,0.8989409984871407,1.0
89,0.89,0.908320726172466,1.0
90,0.9,0.918608169440242,1.0
91,0.91,0.9249621785173979,1.0
92,0.92,0.9334341906202723,1.0
93,0.93,0.9425113464447806,1.0
94,0.9400000000000001,0.9527987897125567,1.0
95,0.9500000000000001,0.9615733736762481,1.0
96,0.96,0.9685325264750378,1.0
97,0.97,0.9767019667170953,1.0
98,0.98,0.9845688350983358,1.0
99,0.99,0.9915279878971256,1.0
100,1.0,1.0,1.0
