,besty,fracs,gains
0,0.0,0.0,0.0
1,0.04559270516717325,0.01,0.03434650455927052
2,0.0911854103343465,0.02,0.06838905775075987
3,0.13677811550151975,0.03,0.10151975683890578
4,0.182370820668693,0.04,0.13282674772036474
5,0.2279635258358663,0.05,0.16231003039513678
6,0.2735562310030395,0.06,0.1899696048632219
7,0.3191489361702128,0.07,0.21641337386018236
8,0.364741641337386,0.08,0.24772036474164133
9,0.41033434650455924,0.09,0.2735562310030395
10,0.4559270516717326,0.1,0.2978723404255319
11,0.5015197568389058,0.11,0.32249240121580547
12,0.547112462006079,0.12,0.34711246200607904
13,0.5927051671732523,0.13,0.37142857142857144
14,0.6382978723404256,0.14,0.3933130699088146
15,0.6838905775075987,0.15,0.4155015197568389
16,0.729483282674772,0.16,0.4358662613981763
17,0.7750759878419454,0.17,0.45866261398176295
18,0.8206686930091185,0.18,0.4735562310030395
19,0.8662613981762919,0.19,0.4884498480243161
20,0.9118541033434652,0.2,0.4978723404255319
21,0.9574468085106383,0.21,0.5109422492401215
22,1.0,0.22,0.5203647416413374
23,1.0,0.23,0.5319148936170213
24,1.0,0.24,0.5395136778115501
25,1.0,0.25,0.5474164133738602
26,1.0,0.26,0.5620060790273557
27,1.0,0.27,0.5759878419452887
28,1.0,0.28,0.5887537993920973
29,1.0,0.29,0.6003039513677811
30,1.0,0.3,0.6127659574468085
31,1.0,0.31,0.6231003039513677
32,1.0,0.32,0.6306990881458967
33,1.0,0.33,0.6376899696048632
34,1.0,0.34,0.6452887537993921
35,1.0,0.35000000000000003,0.6522796352583586
36,1.0,0.36,0.6577507598784195
37,1.0,0.37,0.6644376899696048
38,1.0,0.38,0.6696048632218845
39,1.0,0.39,0.6747720364741642
40,1.0,0.4,0.6832826747720365
41,1.0,0.41000000000000003,0.6890577507598784
42,1.0,0.42,0.6930091185410334
43,1.0,0.43,0.6996960486322188
44,1.0,0.44,0.7063829787234043
45,1.0,0.45,0.713677811550152
46,1.0,0.46,0.7197568389057751
47,1.0,0.47000000000000003,0.7276595744680852
48,1.0,0.48,0.7331306990881459
49,1.0,0.49,0.7389057750759879
50,1.0,0.5,0.7437689969604864
51,1.0,0.51,0.7495440729483283
52,1.0,0.52,0.7565349544072948
53,1.0,0.53,0.7617021276595745
54,1.0,0.54,0.7671732522796353
55,1.0,0.55,0.7714285714285715
56,1.0,0.56,0.778419452887538
57,1.0,0.5700000000000001,0.7814589665653495
58,1.0,0.58,0.7848024316109422
59,1.0,0.59,0.7869300911854104
60,1.0,0.6,0.7905775075987842
61,1.0,0.61,0.7954407294832827
62,1.0,0.62,0.7984802431610942
63,1.0,0.63,0.8030395136778116
64,1.0,0.64,0.8048632218844984
65,1.0,0.65,0.8079027355623101
66,1.0,0.66,0.8121580547112462
67,1.0,0.67,0.8155015197568389
68,1.0,0.68,0.8182370820668693
69,1.0,0.6900000000000001,0.8203647416413374
70,1.0,0.7000000000000001,0.8246200607902735
71,1.0,0.71,0.8267477203647416
72,1.0,0.72,0.8306990881458967
73,1.0,0.73,0.8331306990881459
74,1.0,0.74,0.8370820668693009
75,1.0,0.75,0.8437689969604864
76,1.0,0.76,0.8492401215805471
77,1.0,0.77,0.8559270516717326
78,1.0,0.78,0.8598784194528876
79,1.0,0.79,0.8647416413373861
80,1.0,0.8,0.8702127659574468
81,1.0,0.81,0.8775075987841945
82,1.0,0.8200000000000001,0.8826747720364742
83,1.0,0.8300000000000001,0.8866261398176292
84,1.0,0.84,0.8945288753799392
85,1.0,0.85,0.9006079027355623
86,1.0,0.86,0.9054711246200607
87,1.0,0.87,0.9100303951367781
88,1.0,0.88,0.9173252279635259
89,1.0,0.89,0.9252279635258359
90,1.0,0.9,0.9328267477203648
91,1.0,0.91,0.9398176291793313
92,1.0,0.92,0.9462006079027355
93,1.0,0.93,0.9534954407294833
94,1.0,0.9400000000000001,0.9623100303951367
95,1.0,0.9500000000000001,0.9677811550151976
96,1.0,0.96,0.9738601823708206
97,1.0,0.97,0.9793313069908814
98,1.0,0.98,0.986322188449848
99,1.0,0.99,0.9951367781155015
100,1.0,1.0,1.0
