,Accuracy,Area_Test,Area_Train,R2_Test,R2_Train
G:0.01_C:0.1_K:rbf_D:3.0_M:1000000,81.15333333333334,0.4476681347000788,0.46139975776269304,0.856470703733054,0.8046554212303938
G:0.001_C:10.0_K:rbf_D:3.0_M:1000000,81.04666666666667,0.4426986172279169,0.4542261063273786,0.855991268604244,0.8119010075323833
G:0.01_C:0.001_K:rbf_D:3.0_M:1000000,81.16000000000001,0.4383829836336712,0.45012910235889275,0.8630880757953183,0.8249915721809297
G:0.001_C:1.0_K:rbf_D:3.0_M:1000000,80.79333333333334,0.43773679250725994,0.4438745506731625,0.8276443006684677,0.7855012481630819
G:0.01_C:0.0001_K:rbf_D:3.0_M:1000000,81.05333333333334,0.4353905032982672,0.44120293021462537,0.921054081088475,0.9013808087791657
