,Test,Train
G0.1_C0.001_Klinear_D3_M10,0.30599665206160254,0.30208015441894553
G1.0_C0.001_Klinear_D3_M10,0.2950702372821712,0.2926685881970742
G0.1_C0.1_Klinear_D3_M10,0.18053763916732413,0.3156603538427524
G1.0_C0.1_Klinear_D3_M10,0.17401256187037162,0.3133635976954161
G0.1_C0.001_Krbf_D3_M10,0.14971652775285604,0.08884891524851135
G0.1_C0.1_Krbf_D3_M10,0.13488765900432165,0.07607085479085662
G1.0_C0.1_Krbf_D3_M10,0.027393931358999368,0.026541099112039057
G1.0_C0.001_Krbf_D3_M10,0.026657187658557735,0.006425980665671459
