,Accuracy,Area_Test,Area_Train,R2_Test,R2_Train
G:0.01_C:0.1_K:rbf_D:3.0_M:1000000,76.60666666666667,0.48213642114949573,0.5162885894593212,0.8617546066014099,0.9384917440271128
G:0.001_C:10.0_K:rbf_D:3.0_M:1000000,77.08666666666667,0.4754802346535791,0.512150776053215,0.8709157160668146,0.9235076436629099
G:0.001_C:1.0_K:rbf_D:3.0_M:1000000,75.57333333333334,0.45690732717303784,0.4866280061402013,0.8272087460802309,0.9252623697434578
G:0.01_C:0.001_K:rbf_D:3.0_M:1000000,76.89333333333335,0.38379663356466387,0.40629029507078285,0.6160517374570875,0.6792093868448423
G:0.01_C:0.0001_K:rbf_D:3.0_M:1000000,77.58666666666667,0.01081246884705338,-0.5028279038035136,0.0,0.0
