,besty,fracs,gains
0,0.0,0.0,0.0
1,0.045358330813426065,0.01,0.033262775929845785
2,0.09071666162685213,0.02,0.06682794073178107
3,0.13607499244027818,0.03,0.09918355004535834
4,0.18143332325370426,0.04,0.13335349259147264
5,0.22679165406713034,0.05,0.16056849107952828
6,0.27214998488055636,0.06,0.1923193226489265
7,0.31750831569398247,0.07,0.22074387662534017
8,0.3628666465074085,0.08,0.24977320834593286
9,0.40822497732083457,0.09,0.276685817961899
10,0.4535833081342607,0.1,0.3017840943453281
11,0.4989416389476867,0.11,0.32234653764741455
12,0.5442999697611127,0.12,0.34381614756576956
13,0.5896583005745388,0.13,0.3655881463562141
14,0.6350166313879649,0.14,0.38584820078621107
15,0.6803749622013909,0.15,0.4169942546114303
16,0.725733293014817,0.16,0.4378590867856063
17,0.7710916238282431,0.17,0.4608406410644088
18,0.8164499546416691,0.18,0.4780768067735107
19,0.8618082854550952,0.19,0.49077713940127005
20,0.9071666162685214,0.2,0.5037798609011188
21,0.9525249470819473,0.21,0.5128515270638041
22,0.9978832778953735,0.22,0.5216208043543997
23,1.0,0.23,0.531902026005443
24,1.0,0.24,0.5427880254006653
25,1.0,0.25,0.5566979135167825
26,1.0,0.26,0.5712125793770789
27,1.0,0.27,0.5833081342606592
28,1.0,0.28,0.5926821892954339
29,1.0,0.29,0.6002419110976716
30,1.0,0.3,0.6084064106440883
31,1.0,0.31,0.6150589658300575
32,1.0,0.32,0.6235258542485637
33,1.0,0.33,0.6310855760508013
34,1.0,0.34,0.6368309646205019
35,1.0,0.35000000000000003,0.6434835198064711
36,1.0,0.36,0.6492289083761718
37,1.0,0.37,0.6537647414575144
38,1.0,0.38,0.658905352283036
39,1.0,0.39,0.6664650740852737
40,1.0,0.4,0.6716056849107953
41,1.0,0.41000000000000003,0.6776534623525854
42,1.0,0.42,0.684003628666465
43,1.0,0.43,0.6903537949803448
44,1.0,0.44,0.6976111279104928
45,1.0,0.45,0.7033565164801935
46,1.0,0.46,0.7072875718173571
47,1.0,0.47000000000000003,0.7130329603870578
48,1.0,0.48,0.7175687934684004
49,1.0,0.49,0.7248261263985485
50,1.0,0.5,0.7299667372240701
51,1.0,0.51,0.7348049591775022
52,1.0,0.52,0.7390384033867554
53,1.0,0.53,0.7414575143634714
54,1.0,0.54,0.7444814030843665
55,1.0,0.55,0.7502267916540671
56,1.0,0.56,0.7523435137586937
57,1.0,0.5700000000000001,0.7562745690958572
58,1.0,0.58,0.762624735409737
59,1.0,0.59,0.7662534018748111
60,1.0,0.6,0.768067735107348
61,1.0,0.61,0.7713940127003326
62,1.0,0.62,0.7729059570607801
63,1.0,0.63,0.7771394012700332
64,1.0,0.64,0.7807680677351073
65,1.0,0.65,0.7834895675839129
66,1.0,0.66,0.7868158451768975
67,1.0,0.67,0.7919564560024192
68,1.0,0.68,0.7958875113395827
69,1.0,0.6900000000000001,0.8022376776534623
70,1.0,0.7000000000000001,0.8082854550952525
71,1.0,0.71,0.8134260659207742
72,1.0,0.72,0.8191714544904748
73,1.0,0.73,0.8252192319322649
74,1.0,0.74,0.8306622316298761
75,1.0,0.75,0.8376171756879347
76,1.0,0.76,0.8439673420018143
77,1.0,0.77,0.8512246749319625
78,1.0,0.78,0.8575748412458422
79,1.0,0.79,0.8642273964318113
80,1.0,0.8,0.8714847293619595
81,1.0,0.81,0.8814635621409133
82,1.0,0.8200000000000001,0.8887208950710613
83,1.0,0.8300000000000001,0.8974901723616571
84,1.0,0.84,0.9068642273964318
85,1.0,0.85,0.91412156032658
86,1.0,0.86,0.9201693377683702
87,1.0,0.87,0.9265195040822498
88,1.0,0.88,0.9334744481403084
89,1.0,0.89,0.9389174478379195
90,1.0,0.9,0.9479891140006048
91,1.0,0.91,0.9519201693377684
92,1.0,0.92,0.958875113395827
93,1.0,0.93,0.9643181130934382
94,1.0,0.9400000000000001,0.9712730571514968
95,1.0,0.9500000000000001,0.9758088902328395
96,1.0,0.96,0.9806471121862715
97,1.0,0.97,0.9857877230117932
98,1.0,0.98,0.9909283338373148
99,1.0,0.99,0.9957665557907469
100,1.0,1.0,1.0
