,Test,Train
G0.1_C0.001_Krbf_D3_M10,0.15209235209235203,0.14227656518235643
G0.1_C0.1_Krbf_D3_M10,0.15209235209235203,0.14227656518235643
G1.0_C0.1_Krbf_D3_M10,0.06090235690235689,0.06815837313682668
G1.0_C0.001_Krbf_D3_M10,-0.059701779701779735,-0.06797152055183799
G1.0_C0.1_Klinear_D3_M10,-0.08195093795093797,-0.10313873415159198
G0.1_C0.1_Klinear_D3_M10,-0.08203559403559406,-0.10314651967596652
G0.1_C0.001_Klinear_D3_M10,-0.15460125060125063,-0.15578444997216676
G1.0_C0.001_Klinear_D3_M10,-0.15460125060125063,-0.15578444997216676
