,Area_Test,Area_Train,R2_Test,R2_Train
G:1.0_C:0.1_K:linear_D:3.0_M:5,0.28991940193902577,0.29117069980379334,0.5104637407579404,0.48750492406205803
G:1.0_C:0.001_K:rbf_D:3.0_M:5,-0.10382743448974034,-0.14474666256299776,0.0034334353700347098,0.010079238600635643
G:0.1_C:0.001_K:linear_D:3.0_M:5,-0.21601059066308453,-0.20378563459392918,0.6182034805877101,0.6052669621493325
G:1.0_C:0.001_K:linear_D:3.0_M:5,-0.21601059066308453,-0.20378563459392918,0.6180742926078571,0.6050922244763577
G:0.1_C:0.1_K:linear_D:3.0_M:5,-0.2899271891912939,-0.29116300542453744,0.5011769117327001,0.4853894171196026
