,besty,fracs,gains
0,0.0,0.0,0.0
1,0.04559270516717325,0.01,0.03252279635258359
2,0.0911854103343465,0.02,0.06778115501519758
3,0.13677811550151975,0.03,0.10030395136778116
4,0.182370820668693,0.04,0.13069908814589665
5,0.2279635258358663,0.05,0.15775075987841947
6,0.2735562310030395,0.06,0.18632218844984802
7,0.3191489361702128,0.07,0.21580547112462006
8,0.364741641337386,0.08,0.24468085106382978
9,0.41033434650455924,0.09,0.2711246200607903
10,0.4559270516717326,0.1,0.29635258358662614
11,0.5015197568389058,0.11,0.31975683890577505
12,0.547112462006079,0.12,0.3434650455927052
13,0.5927051671732523,0.13,0.3629179331306991
14,0.6382978723404256,0.14,0.38480243161094224
15,0.6838905775075987,0.15,0.4148936170212766
16,0.729483282674772,0.16,0.4358662613981763
17,0.7750759878419454,0.17,0.45258358662613984
18,0.8206686930091185,0.18,0.470516717325228
19,0.8662613981762919,0.19,0.48723404255319147
20,0.9118541033434652,0.2,0.4972644376899696
21,0.9574468085106383,0.21,0.5082066869300912
22,1.0,0.22,0.5197568389057751
23,1.0,0.23,0.5282674772036474
24,1.0,0.24,0.5389057750759878
25,1.0,0.25,0.5492401215805471
26,1.0,0.26,0.5586626139817629
27,1.0,0.27,0.5693009118541034
28,1.0,0.28,0.5808510638297872
29,1.0,0.29,0.5930091185410334
30,1.0,0.3,0.6021276595744681
31,1.0,0.31,0.609726443768997
32,1.0,0.32,0.6179331306990882
33,1.0,0.33,0.6252279635258359
34,1.0,0.34,0.6358662613981763
35,1.0,0.35000000000000003,0.6446808510638298
36,1.0,0.36,0.6516717325227963
37,1.0,0.37,0.6583586626139818
38,1.0,0.38,0.6656534954407295
39,1.0,0.39,0.6699088145896657
40,1.0,0.4,0.6747720364741642
41,1.0,0.41000000000000003,0.6799392097264437
42,1.0,0.42,0.6860182370820669
43,1.0,0.43,0.6933130699088146
44,1.0,0.44,0.7006079027355623
45,1.0,0.45,0.7054711246200608
46,1.0,0.46,0.7112462006079028
47,1.0,0.47000000000000003,0.7151975683890578
48,1.0,0.48,0.7206686930091185
49,1.0,0.49,0.7276595744680852
50,1.0,0.5,0.7337386018237082
51,1.0,0.51,0.7398176291793314
52,1.0,0.52,0.7428571428571429
53,1.0,0.53,0.7525835866261398
54,1.0,0.54,0.7580547112462006
55,1.0,0.55,0.760790273556231
56,1.0,0.56,0.7653495440729483
57,1.0,0.5700000000000001,0.7696048632218845
58,1.0,0.58,0.7732522796352583
59,1.0,0.59,0.776595744680851
60,1.0,0.6,0.780547112462006
61,1.0,0.61,0.7835866261398177
62,1.0,0.62,0.7866261398176292
63,1.0,0.63,0.7905775075987842
64,1.0,0.64,0.794224924012158
65,1.0,0.65,0.7957446808510639
66,1.0,0.66,0.8006079027355623
67,1.0,0.67,0.8066869300911854
68,1.0,0.68,0.8115501519756839
69,1.0,0.6900000000000001,0.8185410334346505
70,1.0,0.7000000000000001,0.8224924012158055
71,1.0,0.71,0.827355623100304
72,1.0,0.72,0.8316109422492401
73,1.0,0.73,0.8343465045592705
74,1.0,0.74,0.8395136778115502
75,1.0,0.75,0.8422492401215805
76,1.0,0.76,0.847112462006079
77,1.0,0.77,0.8537993920972644
78,1.0,0.78,0.8604863221884499
79,1.0,0.79,0.8671732522796353
80,1.0,0.8,0.8720364741641338
81,1.0,0.81,0.878419452887538
82,1.0,0.8200000000000001,0.8835866261398176
83,1.0,0.8300000000000001,0.8887537993920973
84,1.0,0.84,0.8939209726443769
85,1.0,0.85,0.9006079027355623
86,1.0,0.86,0.90790273556231
87,1.0,0.87,0.9124620060790274
88,1.0,0.88,0.9194528875379939
89,1.0,0.89,0.9270516717325228
90,1.0,0.9,0.9334346504559271
91,1.0,0.91,0.9437689969604863
92,1.0,0.92,0.9504559270516717
93,1.0,0.93,0.9586626139817629
94,1.0,0.9400000000000001,0.9665653495440729
95,1.0,0.9500000000000001,0.9723404255319149
96,1.0,0.96,0.9778115501519757
97,1.0,0.97,0.9838905775075988
98,1.0,0.98,0.990273556231003
99,1.0,0.99,0.9951367781155015
100,1.0,1.0,1.0
