,fracs,gains,besty
0,0.0,0.0,0.0
1,0.01,0.004218137993371497,0.04519433564326605
2,0.02,0.007532389273877674,0.0903886712865321
3,0.03,0.012955709551069599,0.13558300692979813
4,0.04,0.01777643868635131,0.1807773425730642
5,0.05,0.02380235010545345,0.22597167821633024
6,0.06,0.030129557095510694,0.27116601385959627
7,0.07,0.036456764085567944,0.31636034950286235
8,0.08,0.04188008436275987,0.3615546851461284
9,0.09,0.04941247363663754,0.4067490207893944
10,0.1,0.056342271768605,0.4519433564326605
11,0.11,0.06357336547152757,0.4971376920759265
12,0.12,0.06899668574871949,0.5423320277191925
13,0.13,0.07442000602591142,0.5875263633624586
14,0.14,0.08134980415787887,0.6327206990057247
15,0.15,0.08888219343175656,0.6779150346489906
16,0.16,0.0949081048508587,0.7231093702922567
17,0.17,0.10213919855378126,0.7683037059355228
18,0.18,0.10997288339861404,0.8134980415787888
19,0.19,0.11750527267249171,0.8586923772220548
20,0.2,0.1256402530882796,0.903886712865321
21,0.21,0.13618559807170835,0.9490810485085869
22,0.22,0.1428141006327207,0.994275384151853
23,0.23,0.15486592347092498,1.0
24,0.24,0.16149442603193734,1.0
25,0.25,0.16721904188008435,1.0
26,0.26,0.17625790900873758,1.0
27,0.27,0.18469418499548057,1.0
28,0.28,0.1898162097017174,1.0
29,0.29,0.19313046098222356,1.0
30,0.3,0.2033745103946972,1.0
31,0.31,0.21783669780054232,1.0
32,0.32,0.22838204278397106,1.0
33,0.33,0.2383247966254896,1.0
34,0.34,0.24404941247363665,1.0
35,0.35000000000000003,0.2548960530280205,1.0
36,0.36,0.26724917143717986,1.0
37,0.37,0.27930099427538413,1.0
38,0.38,0.29225670382645375,1.0
39,0.39,0.30491111780656827,1.0
40,0.4,0.31515516721904185,1.0
41,0.41000000000000003,0.32570051220247065,1.0
42,0.42,0.3416691774630913,1.0
43,0.43,0.3507080445917445,1.0
44,0.44,0.3612533895751732,1.0
45,0.45,0.37390780355528774,1.0
46,0.46,0.3844531485387165,1.0
47,0.47000000000000003,0.3977101536607412,1.0
48,0.48,0.4094606809279904,1.0
49,0.49,0.42693582404338654,1.0
50,0.5,0.43657728231395,1.0
51,0.51,0.44682133172642363,1.0
52,0.52,0.4567640855679421,1.0
53,0.53,0.47152756854474237,1.0
54,0.54,0.4847845736667671,1.0
55,0.55,0.49894546550165714,1.0
56,0.56,0.5140102440494124,1.0
57,0.5700000000000001,0.5263633624585718,1.0
58,0.58,0.5396203675805966,1.0
59,0.59,0.5513708948478457,1.0
60,0.6,0.5649291955408255,1.0
61,0.61,0.580295269659536,1.0
62,0.62,0.5941548659234709,1.0
63,0.63,0.6071105754745405,1.0
64,0.64,0.6200662850256101,1.0
65,0.65,0.6333232901476348,1.0
66,0.66,0.6456764085567942,1.0
67,0.67,0.6580295269659536,1.0
68,0.68,0.6691774630912926,1.0
69,0.6900000000000001,0.6842422416390479,1.0
70,0.7000000000000001,0.695691473335342,1.0
71,0.71,0.7092497740283218,1.0
72,0.72,0.7219041880084363,1.0
73,0.73,0.7330521241337752,1.0
74,0.74,0.746610424826755,1.0
75,0.75,0.7589635432359144,1.0
76,0.76,0.7698101837902983,1.0
77,0.77,0.7836697800542332,1.0
78,0.78,0.7948177161795722,1.0
79,0.79,0.8053630611630009,1.0
80,0.8,0.8180174751431154,1.0
81,0.81,0.8294667068394095,1.0
82,0.8200000000000001,0.8391081651099729,1.0
83,0.8300000000000001,0.8481470322386261,1.0
84,0.84,0.8568846037963241,1.0
85,0.85,0.8656221753540223,1.0
86,0.86,0.8740584513407653,1.0
87,0.87,0.8858089786080144,1.0
88,0.88,0.895751732449533,1.0
89,0.89,0.9017776438686351,1.0
90,0.9,0.9120216932811087,1.0
91,0.91,0.9243748116902681,1.0
92,0.92,0.9331123832479663,1.0
93,0.93,0.940644772521844,1.0
94,0.9400000000000001,0.9502862307924074,1.0
95,0.9500000000000001,0.9602289846339259,1.0
96,0.96,0.9692678517625791,1.0
97,0.97,0.9755950587526363,1.0
98,0.98,0.983127448026514,1.0
99,0.99,0.9921663151551672,1.0
100,1.0,1.0,1.0
