,Area_Test,Area_Train,R2_Test,R2_Train
G:1.0_C:0.001_K:rbf_D:3_M:5,0.10323888985456861,0.08848950154132493,0.10530698982621722,0.11426033956879011
G:0.1_C:0.1_K:linear_D:3_M:5,0.05252911524422039,0.055049535663739074,0.14050276943599194,0.10732043842768746
G:1.0_C:0.1_K:linear_D:3_M:5,0.05252911524422039,0.055049535663739074,0.14118317282404413,0.10630775736711351
G:1.0_C:0.001_K:linear_D:3_M:5,0.034335708905498544,-0.0014385699606429246,0.2301169825313638,0.13934443545658926
G:0.1_C:0.001_K:linear_D:3_M:5,-0.034335708905498606,0.0014385699606428715,0.19658668929398673,0.11563336035450766
G:1.0_C:0.1_K:rbf_D:3_M:5,-0.10501574057979414,-0.08702378875123598,0.09667732567687515,0.08993788947240622
G:0.1_C:0.1_K:rbf_D:3_M:5,-0.11006045155184736,-0.10786948176583495,0.31938640691909925,0.32530842340641586
G:0.1_C:0.001_K:rbf_D:3_M:5,-0.11006817698978313,-0.10786948176583495,0.32817337112024536,0.3303920261592146
