,fracs,gains,besty
0,0.0,0.0,0.0
1,0.01,0.008105673971780246,0.04503152206544581
2,0.02,0.017111978384869407,0.09006304413089163
3,0.03,0.02431702191534074,0.13509456619633745
4,0.04,0.03182227559291504,0.18012608826178325
5,0.05,0.037226058240768536,0.22515761032722909
6,0.06,0.04503152206544581,0.2701891323926749
7,0.07,0.05133593515460823,0.3152206544581207
8,0.08,0.059741819273491446,0.3602521765235665
9,0.09,0.06544581206844792,0.4052836985890123
10,0.1,0.07295106574602221,0.45031522065445817
11,0.11,0.08105673971780246,0.4953467427199039
12,0.12,0.08886220354247974,0.5403782647853498
13,0.13,0.09456619633743621,0.5854097868507956
14,0.14,0.10417292104473132,0.6304413089162414
15,0.15,0.11227859501651156,0.6754728309816872
16,0.16,0.1215851095767037,0.720504353047133
17,0.17,0.1266886820774542,0.7655358751125789
18,0.18,0.1344941459021315,0.8105673971780246
19,0.19,0.14199939957970578,0.8555989192434704
20,0.2,0.15070549384569198,0.9006304413089163
21,0.21,0.1594115881116782,0.945661963374362
22,0.22,0.16841789252476733,0.9906934854398078
23,0.23,0.17562293605523865,1.0
24,0.24,0.1849294506154308,1.0
25,0.25,0.19423596517562294,1.0
26,0.26,0.2032422695887121,1.0
27,0.27,0.21465025517862504,1.0
28,0.28,0.22185529870909637,1.0
29,0.29,0.23356349444611227,1.0
30,0.3,0.24377063944761332,1.0
31,0.31,0.25637946562593816,1.0
32,0.32,0.26508555989192434,1.0
33,0.33,0.2752927048934254,1.0
34,0.34,0.28670069048333835,1.0
35,0.35000000000000003,0.2948063644551186,1.0
36,0.36,0.30501350945661965,1.0
37,0.37,0.3152206544581207,1.0
38,0.38,0.3269288501951366,1.0
39,0.39,0.33893725607925546,1.0
40,0.4,0.3497448213749625,1.0
41,0.41000000000000003,0.3623536475532873,1.0
42,0.42,0.37256079255478836,1.0
43,0.43,0.3848694085860102,1.0
44,0.44,0.3968778144701291,1.0
45,0.45,0.4067847493245272,1.0
46,0.46,0.41759231462023416,1.0
47,0.47000000000000003,0.42749924947463225,1.0
48,0.48,0.441008706094266,1.0
49,0.49,0.4560192134494146,1.0
50,0.5,0.4689282497748424,1.0
51,0.51,0.4827379165415791,1.0
52,0.52,0.4977484238967277,1.0
53,0.53,0.5097568297808466,1.0
54,0.54,0.5190633443410387,1.0
55,0.55,0.5298709096367458,1.0
56,0.56,0.5415791053737616,1.0
57,0.5700000000000001,0.5529870909636746,1.0
58,0.58,0.5640948664064845,1.0
59,0.59,0.5764034824377064,1.0
60,0.6,0.5845091564094866,1.0
61,0.61,0.5956169318522966,1.0
62,0.62,0.6043230261182828,1.0
63,0.63,0.6145301711197838,1.0
64,0.64,0.62323626538577,1.0
65,0.65,0.6322425697988592,1.0
66,0.66,0.6412488742119483,1.0
67,0.67,0.6532572800960672,1.0
68,0.68,0.6649654758330832,1.0
69,0.6900000000000001,0.6754728309816872,1.0
70,0.7000000000000001,0.6844791353947763,1.0
71,0.71,0.6934854398078655,1.0
72,0.72,0.7063944761332933,1.0
73,0.73,0.7151005703992795,1.0
74,0.74,0.7247072951065746,1.0
75,0.75,0.7352146502551786,1.0
76,0.76,0.7502251576103273,1.0
77,0.77,0.7607325127589313,1.0
78,0.78,0.7709396577604323,1.0
79,0.79,0.7826478534974483,1.0
80,0.8,0.7940558390873611,1.0
81,0.81,0.8048634043830681,1.0
82,0.8200000000000001,0.8141699189432603,1.0
83,0.8300000000000001,0.8258781146802762,1.0
84,0.84,0.839687781447013,1.0
85,0.85,0.8525968177724407,1.0
86,0.86,0.8610027018913239,1.0
87,0.87,0.8730111077754428,1.0
88,0.88,0.8823176223356349,1.0
89,0.89,0.8901230861603122,1.0
90,0.9,0.8988291804262984,1.0
91,0.91,0.9120384268988292,1.0
92,0.92,0.924647253077154,1.0
93,0.93,0.9324527169018313,1.0
94,0.9400000000000001,0.9396577604323026,1.0
95,0.9500000000000001,0.9483638546982888,1.0
96,0.96,0.9621735214650255,1.0
97,0.97,0.9726808766136296,1.0
98,0.98,0.9831882317622336,1.0
99,0.99,0.9939957970579406,1.0
100,1.0,1.0,1.0
