,besty,fracs,gains
0,0.0,0.0,0.0
1,0.045358330813426065,0.01,0.033262775929845785
2,0.09071666162685213,0.02,0.0680374962201391
3,0.13607499244027818,0.03,0.10160266102207438
4,0.18143332325370426,0.04,0.13426065920774116
5,0.22679165406713034,0.05,0.16238282431206533
6,0.27214998488055636,0.06,0.18990021167221047
7,0.31750831569398247,0.07,0.21983671000907168
8,0.3628666465074085,0.08,0.24977320834593286
9,0.40822497732083457,0.09,0.27608104021772
10,0.4535833081342607,0.1,0.3014817054732386
11,0.4989416389476867,0.11,0.3232537042636831
12,0.5442999697611127,0.12,0.3453280919262171
13,0.5896583005745388,0.13,0.3664953129724826
14,0.6350166313879649,0.14,0.3912912004838222
15,0.6803749622013909,0.15,0.41427275476262476
16,0.725733293014817,0.16,0.43695192016933776
17,0.7710916238282431,0.17,0.45811914121560326
18,0.8164499546416691,0.18,0.4777744179014212
19,0.8618082854550952,0.19,0.49168430601753854
20,0.9071666162685214,0.2,0.5028726942848503
21,0.9525249470819473,0.21,0.5134563048079831
22,0.9978832778953735,0.22,0.5228303598427578
23,1.0,0.23,0.532506803749622
24,1.0,0.24,0.5446023586332023
25,1.0,0.25,0.555185969156335
26,1.0,0.26,0.5672815240399154
27,1.0,0.27,0.5817961899002116
28,1.0,0.28,0.5954036891442395
29,1.0,0.29,0.6096159661324463
30,1.0,0.3,0.6198971877834896
31,1.0,0.31,0.6286664650740853
32,1.0,0.32,0.6359237980042335
33,1.0,0.33,0.6437859086785607
34,1.0,0.34,0.6507408527366193
35,1.0,0.35000000000000003,0.6546719080737828
36,1.0,0.36,0.6604172966434835
37,1.0,0.37,0.6637435742364681
38,1.0,0.38,0.6691865739340792
39,1.0,0.39,0.6743271847596009
40,1.0,0.4,0.681584517689749
41,1.0,0.41000000000000003,0.6885394617478077
42,1.0,0.42,0.6976111279104928
43,1.0,0.43,0.7057756274569096
44,1.0,0.44,0.7124281826428788
45,1.0,0.45,0.7190807378288478
46,1.0,0.46,0.724523737526459
47,1.0,0.47000000000000003,0.7296643483519807
48,1.0,0.48,0.7351073480495918
49,1.0,0.49,0.7426670698518294
50,1.0,0.5,0.7481100695494406
51,1.0,0.51,0.7520411248866041
52,1.0,0.52,0.7553674024795888
53,1.0,0.53,0.7608104021771999
54,1.0,0.54,0.764439068642274
55,1.0,0.55,0.7707892349561536
56,1.0,0.56,0.7747202902933172
57,1.0,0.5700000000000001,0.7786513456304808
58,1.0,0.58,0.7813728454792863
59,1.0,0.59,0.787118234048987
60,1.0,0.6,0.790746900514061
61,1.0,0.61,0.7940731781070457
62,1.0,0.62,0.7973994557000302
63,1.0,0.63,0.8001209555488358
64,1.0,0.64,0.8037496220139099
65,1.0,0.65,0.8064711218627154
66,1.0,0.66,0.8100997883277895
67,1.0,0.67,0.812821288176595
68,1.0,0.68,0.8158451768974901
69,1.0,0.6900000000000001,0.8185666767462957
70,1.0,0.7000000000000001,0.8197762322346538
71,1.0,0.71,0.8234048986997279
72,1.0,0.72,0.827638342908981
73,1.0,0.73,0.8324765648624131
74,1.0,0.74,0.8382219534321137
75,1.0,0.75,0.8433625642576353
76,1.0,0.76,0.849107952827336
77,1.0,0.77,0.851527063804052
78,1.0,0.78,0.8566676746295736
79,1.0,0.79,0.8639250075597218
80,1.0,0.8,0.8672512851527063
81,1.0,0.81,0.8748110069549441
82,1.0,0.8200000000000001,0.8823707287571817
83,1.0,0.8300000000000001,0.8887208950710613
84,1.0,0.84,0.8941638947686725
85,1.0,0.85,0.9008164499546417
86,1.0,0.86,0.9071666162685214
87,1.0,0.87,0.913516782582401
88,1.0,0.88,0.9207741155125492
89,1.0,0.89,0.9280314484426974
90,1.0,0.9,0.936195947989114
91,1.0,0.91,0.9431508920471726
92,1.0,0.92,0.9510130027214998
93,1.0,0.93,0.9543392803144845
94,1.0,0.9400000000000001,0.9615966132446326
95,1.0,0.9500000000000001,0.9682491684306017
96,1.0,0.96,0.9752041124886605
97,1.0,0.97,0.9818566676746295
98,1.0,0.98,0.9900211672210463
99,1.0,0.99,0.9951617780465679
100,1.0,1.0,1.0
