,besty,fracs,gains
0,0.0,0.0,0.0
1,0.045358330813426065,0.01,0.033867553674024796
2,0.09071666162685213,0.02,0.06652555185969157
3,0.13607499244027818,0.03,0.10039310553371636
4,0.18143332325370426,0.04,0.13305110371938314
5,0.22679165406713034,0.05,0.16419715754460235
6,0.27214998488055636,0.06,0.19443604475355306
7,0.31750831569398247,0.07,0.22225582098578772
8,0.3628666465074085,0.08,0.2512851527063804
9,0.40822497732083457,0.09,0.2763834290898095
10,0.4535833081342607,0.1,0.30359842757786515
11,0.4989416389476867,0.11,0.32537042636830965
12,0.5442999697611127,0.12,0.34774720290293315
13,0.5896583005745388,0.13,0.3713335349259147
14,0.6350166313879649,0.14,0.39371031146053825
15,0.6803749622013909,0.15,0.4175990323556093
16,0.725733293014817,0.16,0.4387662534018748
17,0.7710916238282431,0.17,0.46235258542485635
18,0.8164499546416691,0.18,0.47898397338977927
19,0.8618082854550952,0.19,0.4892651950408225
20,0.9071666162685214,0.2,0.5010583610523133
21,0.9525249470819473,0.21,0.5107348049591776
22,0.9978832778953735,0.22,0.5219231932264893
23,1.0,0.23,0.53371635923798
24,1.0,0.24,0.5482310250982764
25,1.0,0.25,0.5636528575748413
26,1.0,0.26,0.5730269126096159
27,1.0,0.27,0.5824009676443906
28,1.0,0.28,0.5960084668884185
29,1.0,0.29,0.6065920774115513
30,1.0,0.3,0.6159661324463259
31,1.0,0.31,0.6244330208648322
32,1.0,0.32,0.6332022981554278
33,1.0,0.33,0.6413667977018446
34,1.0,0.34,0.6462050196552767
35,1.0,0.35000000000000003,0.6525551859691563
36,1.0,0.36,0.658905352283036
37,1.0,0.37,0.6649531297248261
38,1.0,0.38,0.6700937405503478
39,1.0,0.39,0.6752343513758694
40,1.0,0.4,0.680374962201391
41,1.0,0.41000000000000003,0.6876322951315391
42,1.0,0.42,0.6957967946779559
43,1.0,0.43,0.7015421832476565
44,1.0,0.44,0.7072875718173571
45,1.0,0.45,0.7148472936195948
46,1.0,0.46,0.7193831267009374
47,1.0,0.47000000000000003,0.7242213486543695
48,1.0,0.48,0.7302691260961597
49,1.0,0.49,0.7357121257937708
50,1.0,0.5,0.7399455700030239
51,1.0,0.51,0.7426670698518294
52,1.0,0.52,0.747202902933172
53,1.0,0.53,0.7520411248866041
54,1.0,0.54,0.7571817357121258
55,1.0,0.55,0.7608104021771999
56,1.0,0.56,0.763834290898095
57,1.0,0.5700000000000001,0.7683701239794376
58,1.0,0.58,0.7732083459328697
59,1.0,0.59,0.7783489567583913
60,1.0,0.6,0.784094345328092
61,1.0,0.61,0.7892349561536135
62,1.0,0.62,0.7922588448745086
63,1.0,0.63,0.7964922890837617
64,1.0,0.64,0.7989114000604778
65,1.0,0.65,0.8010281221651043
66,1.0,0.66,0.8040520108859994
67,1.0,0.67,0.8104021771998791
68,1.0,0.68,0.8149380102812217
69,1.0,0.6900000000000001,0.8185666767462957
70,1.0,0.7000000000000001,0.8237072875718173
71,1.0,0.71,0.827638342908981
72,1.0,0.72,0.8312670093740551
73,1.0,0.73,0.8382219534321137
74,1.0,0.74,0.8436649531297248
75,1.0,0.75,0.8466888418506199
76,1.0,0.76,0.851527063804052
77,1.0,0.77,0.8542485636528576
78,1.0,0.78,0.8599939522225583
79,1.0,0.79,0.8639250075597218
80,1.0,0.8,0.869972785001512
81,1.0,0.81,0.8757181735712126
82,1.0,0.8200000000000001,0.8823707287571817
83,1.0,0.8300000000000001,0.8872089507106139
84,1.0,0.84,0.8959782280012095
85,1.0,0.85,0.9056546719080738
86,1.0,0.86,0.9132143937103114
87,1.0,0.87,0.9213788932567282
88,1.0,0.88,0.9283338373147868
89,1.0,0.89,0.9364983368612035
90,1.0,0.9,0.9413365588146356
91,1.0,0.91,0.9452676141517992
92,1.0,0.92,0.9528273359540369
93,1.0,0.93,0.956456002419111
94,1.0,0.9400000000000001,0.9643181130934382
95,1.0,0.9500000000000001,0.9718778348956758
96,1.0,0.96,0.9752041124886605
97,1.0,0.97,0.9818566676746295
98,1.0,0.98,0.9888116117326883
99,1.0,0.99,0.9936498336861204
100,1.0,1.0,1.0
