,Accuracy,Area_Test,Area_Train,R2_Test,R2_Train
G:0.01_C:0.1_K:rbf_D:3.0_M:1000000,80.83333333333334,0.44488492032945876,0.45795192726819844,0.828134312546218,0.8131739284478675
G:0.001_C:1.0_K:rbf_D:3.0_M:1000000,80.72666666666667,0.44329920714340687,0.44195622392427913,0.8097058965859936,0.8232152707025028
G:0.01_C:0.001_K:rbf_D:3.0_M:1000000,80.91333333333334,0.44256793164498504,0.44241546796189046,0.8326568098200006,0.8328725268811836
G:0.01_C:0.0001_K:rbf_D:3.0_M:1000000,80.62666666666667,0.43800323300746663,0.4326000996326047,0.9059849977681386,0.9021305923532917
G:0.001_C:10.0_K:rbf_D:3.0_M:1000000,80.63333333333334,0.4355091986760065,0.4547060838159287,0.8308741344076116,0.8228151868223527
