,fracs,gains,besty
0,0.0,0.0,0.0
1,0.01,0.010287443267776097,0.0453857791225416
2,0.02,0.01875945537065053,0.0907715582450832
3,0.03,0.026021180030257187,0.1361573373676248
4,0.04,0.03237518910741301,0.1815431164901664
5,0.05,0.0405446293494705,0.22692889561270804
6,0.06,0.04599092284417549,0.2723146747352496
7,0.07,0.05264750378214826,0.3177004538577913
8,0.08,0.059001512859304085,0.3630862329803328
9,0.09,0.0680786686838124,0.4084720121028744
10,0.1,0.07413010590015129,0.4538577912254161
11,0.11,0.08018154311649017,0.49924357034795763
12,0.12,0.08714069591527988,0.5446293494704992
13,0.13,0.09470499243570348,0.5900151285930408
14,0.14,0.1010590015128593,0.6354009077155826
15,0.15,0.11104387291981846,0.680786686838124
16,0.16,0.11830559757942512,0.7261724659606656
17,0.17,0.12677760968229954,0.7715582450832074
18,0.18,0.1367624810892587,0.8169440242057489
19,0.19,0.14553706505295008,0.8623298033282905
20,0.2,0.15340393343419062,0.9077155824508322
21,0.21,0.16036308623298035,0.9531013615733737
22,0.22,0.17034795763993948,0.9984871406959153
23,0.23,0.17821482602118002,1.0
24,0.24,0.19001512859304084,1.0
25,0.25,0.19667170953101362,1.0
26,0.26,0.205446293494705,1.0
27,0.27,0.21694402420574888,1.0
28,0.28,0.22844175491679275,1.0
29,0.29,0.23540090771558245,1.0
30,0.3,0.24266263237518912,1.0
31,0.31,0.2520423600605144,1.0
32,0.32,0.26142208774583964,1.0
33,0.33,0.26959152798789715,1.0
34,0.34,0.27806354009077155,1.0
35,0.35000000000000003,0.28774583963691375,1.0
36,0.36,0.2962178517397882,1.0
37,0.37,0.3059001512859304,1.0
38,0.38,0.3146747352496218,1.0
39,0.39,0.32284417549167926,1.0
40,0.4,0.33222390317700456,1.0
41,0.41000000000000003,0.3400907715582451,1.0
42,0.42,0.34674735249621785,1.0
43,0.43,0.35642965204236005,1.0
44,0.44,0.3655068078668684,1.0
45,0.45,0.37488653555219364,1.0
46,0.46,0.3821482602118003,1.0
47,0.47000000000000003,0.39092284417549167,1.0
48,0.48,0.40060514372163386,1.0
49,0.49,0.41180030257186084,1.0
50,0.5,0.42148260211800304,1.0
51,0.51,0.43328290468986386,1.0
52,0.52,0.44296520423600605,1.0
53,0.53,0.4514372163388805,1.0
54,0.54,0.4605143721633888,1.0
55,0.55,0.4695915279878971,1.0
56,0.56,0.47745839636913767,1.0
57,0.5700000000000001,0.4868381240544629,1.0
58,0.58,0.4962178517397882,1.0
59,0.59,0.5052950075642966,1.0
60,0.6,0.513464447806354,1.0
61,0.61,0.5258698940998487,1.0
62,0.62,0.535249621785174,1.0
63,0.63,0.5482602118003026,1.0
64,0.64,0.5585476550680787,1.0
65,0.65,0.5682299546142209,1.0
66,0.66,0.5806354009077156,1.0
67,0.67,0.5921331316187595,1.0
68,0.68,0.6036308623298033,1.0
69,0.6900000000000001,0.6145234493192133,1.0
70,0.7000000000000001,0.627231467473525,1.0
71,0.71,0.6384266263237519,1.0
72,0.72,0.6505295007564297,1.0
73,0.73,0.6617246596066566,1.0
74,0.74,0.6729198184568835,1.0
75,0.75,0.6844175491679274,1.0
76,0.76,0.6968229954614221,1.0
77,0.77,0.7089258698940999,1.0
78,0.78,0.7195158850226929,1.0
79,0.79,0.729803328290469,1.0
80,0.8,0.740695915279879,1.0
81,0.81,0.7506807866868381,1.0
82,0.8200000000000001,0.762481089258699,1.0
83,0.8300000000000001,0.7718608169440242,1.0
84,0.84,0.7845688350983359,1.0
85,0.85,0.7969742813918306,1.0
86,0.86,0.8118003025718609,1.0
87,0.87,0.8232980332829047,1.0
88,0.88,0.8332829046898639,1.0
89,0.89,0.8459909228441755,1.0
90,0.9,0.8565809379727686,1.0
91,0.91,0.8689863842662633,1.0
92,0.92,0.8816944024205748,1.0
93,0.93,0.8947049924357035,1.0
94,0.9400000000000001,0.9068078668683812,1.0
95,0.9500000000000001,0.918608169440242,1.0
96,0.96,0.9288956127080181,1.0
97,0.97,0.9425113464447806,1.0
98,0.98,0.9582450832072618,1.0
99,0.99,0.9754916792738275,1.0
100,1.0,1.0,1.0
