,besty,fracs,gains
0,0.0,0.0,0.0
1,0.045829514207149404,0.01,0.03391384051329056
2,0.09165902841429881,0.02,0.06843874121600978
3,0.13748854262144822,0.03,0.10235258172930034
4,0.18331805682859761,0.04,0.13260006110601893
5,0.22914757103574704,0.05,0.15765352887259396
6,0.27497708524289644,0.06,0.18576229758631224
7,0.32080659945004586,0.07,0.2175374274366025
8,0.36663611365719523,0.08,0.24717384662389244
9,0.4124656278643446,0.09,0.2746715551481821
10,0.4582951420714941,0.1,0.3018637335777574
11,0.5041246562786434,0.11,0.32538955087076077
12,0.5499541704857929,0.12,0.3498319584479071
13,0.5957836846929423,0.13,0.36877482432019554
14,0.6416131989000917,0.14,0.387717690192484
15,0.687442713107241,0.15,0.4152153987167736
16,0.7332722273143905,0.16,0.43660250534677664
17,0.7791017415215399,0.17,0.45646196150320806
18,0.8249312557286892,0.18,0.4763214176596395
19,0.8707607699358386,0.19,0.49159792239535594
20,0.9165902841429882,0.2,0.5041246562786434
21,0.9624197983501375,0.21,0.5160403299725023
22,1.0,0.22,0.5249007027192178
23,1.0,0.23,0.5334555453712191
24,1.0,0.24,0.5432325084020776
25,1.0,0.25,0.5545371219065078
26,1.0,0.26,0.5679804460739383
27,1.0,0.27,0.5802016498625114
28,1.0,0.28,0.5915062633669417
29,1.0,0.29,0.6012832263978002
30,1.0,0.3,0.6119767797128017
31,1.0,0.31,0.6235869233119462
32,1.0,0.32,0.6318362358692331
33,1.0,0.33,0.6385578979529484
34,1.0,0.34,0.6440574396578063
35,1.0,0.35000000000000003,0.6504735716468072
36,1.0,0.36,0.66055606477238
37,1.0,0.37,0.665139016193095
38,1.0,0.38,0.6706385578979529
39,1.0,0.39,0.6755270394133822
40,1.0,0.4,0.6825542315918118
41,1.0,0.41000000000000003,0.6880537732966697
42,1.0,0.42,0.6932477849068133
43,1.0,0.43,0.6999694469905285
44,1.0,0.44,0.7069966391689582
45,1.0,0.45,0.7140238313473877
46,1.0,0.46,0.7195233730522457
47,1.0,0.47000000000000003,0.7268560953253895
48,1.0,0.48,0.7326611671249618
49,1.0,0.49,0.7387717690192483
50,1.0,0.5,0.7436602505346777
51,1.0,0.51,0.7470210815765352
52,1.0,0.52,0.7537427436602505
53,1.0,0.53,0.7583256950809655
54,1.0,0.54,0.763519706691109
55,1.0,0.55,0.7677971280171096
56,1.0,0.56,0.772685609532539
57,1.0,0.5700000000000001,0.7784906813321112
58,1.0,0.58,0.7849068133211121
59,1.0,0.59,0.7894897647418271
60,1.0,0.6,0.7937671860678277
61,1.0,0.61,0.797739077299114
62,1.0,0.62,0.8014054384356859
63,1.0,0.63,0.8044607393828292
64,1.0,0.64,0.8108768713718302
65,1.0,0.65,0.8179040635502597
66,1.0,0.66,0.820959364497403
67,1.0,0.67,0.8255423159181179
68,1.0,0.68,0.8295142071494043
69,1.0,0.6900000000000001,0.8316529178124045
70,1.0,0.7000000000000001,0.8353192789489765
71,1.0,0.71,0.8392911701802628
72,1.0,0.72,0.8454017720745494
73,1.0,0.73,0.84967919340055
74,1.0,0.74,0.8524289642529789
75,1.0,0.75,0.8548732050106935
76,1.0,0.76,0.8585395661472655
77,1.0,0.77,0.8628169874732661
78,1.0,0.78,0.867399938893981
79,1.0,0.79,0.871982890314696
80,1.0,0.8,0.876565841735411
81,1.0,0.81,0.8811487931561259
82,1.0,0.8200000000000001,0.8884815154292698
83,1.0,0.8300000000000001,0.897036358081271
84,1.0,0.84,0.9019248395967002
85,1.0,0.85,0.9092575618698442
86,1.0,0.86,0.9144515734799877
87,1.0,0.87,0.9175068744271311
88,1.0,0.88,0.9263672471738467
89,1.0,0.89,0.9324778490681332
90,1.0,0.9,0.9407271616254201
91,1.0,0.91,0.9483654139932783
92,1.0,0.92,0.955392606171708
93,1.0,0.93,0.9615032080659945
94,1.0,0.9400000000000001,0.9682248701497097
95,1.0,0.9500000000000001,0.9734188817598534
96,1.0,0.96,0.9783073632752826
97,1.0,0.97,0.9841124350748549
98,1.0,0.98,0.9899175068744271
99,1.0,0.99,0.9957225786739994
100,1.0,1.0,1.0
