,fracs,gains,besty
0,0.0,0.0,0.0
1,0.01,0.021014710297208045,0.04503152206544581
2,0.02,0.035424797358150704,0.09006304413089163
3,0.03,0.04893425397778445,0.13509456619633745
4,0.04,0.06094265986190333,0.18012608826178325
5,0.05,0.07175022515761033,0.22515761032722909
6,0.06,0.08315821074752326,0.2701891323926749
7,0.07,0.09576703692584809,0.3152206544581207
8,0.08,0.10867607325127589,0.3602521765235665
9,0.09,0.12308616031221856,0.4052836985890123
10,0.1,0.13719603722605825,0.45031522065445817
11,0.11,0.14830381266886822,0.4953467427199039
12,0.12,0.161212848994296,0.5403782647853498
13,0.13,0.1753227259081357,0.5854097868507956
14,0.14,0.18673071149804862,0.6304413089162414
15,0.15,0.19843890723506455,0.6754728309816872
16,0.16,0.20924647253077153,0.720504353047133
17,0.17,0.22005403782647853,0.7655358751125789
18,0.18,0.23086160312218554,0.8105673971780246
19,0.19,0.2395676973881717,0.8555989192434704
20,0.2,0.24857400180126088,0.9006304413089163
21,0.21,0.2602821975382768,0.945661963374362
22,0.22,0.27138997298108675,0.9906934854398078
23,0.23,0.28399879915941156,1.0
24,0.24,0.2969078354848394,1.0
25,0.25,0.3083158210747523,1.0
26,0.26,0.31852296607625336,1.0
27,0.27,0.3293305313719604,1.0
28,0.28,0.33893725607925546,1.0
29,0.29,0.3503452416691684,1.0
30,0.3,0.36265385770039027,1.0
31,0.31,0.37376163314320027,1.0
32,0.32,0.38186730711498046,1.0
33,0.33,0.3902731912338637,1.0
34,0.34,0.40168117682377663,1.0
35,0.35000000000000003,0.4139897928549985,1.0
36,0.36,0.4226958871209847,1.0
37,0.37,0.43170219153407385,1.0
38,0.38,0.440708495947163,1.0
39,0.39,0.45091564094866404,1.0
40,0.4,0.46082257580306213,1.0
41,0.41000000000000003,0.4698288802161513,1.0
42,0.42,0.47883518462924046,1.0
43,0.43,0.48874211948363855,1.0
44,0.44,0.49924947463224256,1.0
45,0.45,0.5070549384569198,1.0
46,0.46,0.5166616631642149,1.0
47,0.47000000000000003,0.5280696487541279,1.0
48,0.48,0.5394776343440408,1.0
49,0.49,0.5523866706694687,1.0
50,0.5,0.5643950765535876,1.0
51,0.51,0.5743020114079855,1.0
52,0.52,0.5839087361152807,1.0
53,0.53,0.5932152506754729,1.0
54,0.54,0.6004202942059441,1.0
55,0.55,0.6085259681777244,1.0
56,0.56,0.6187331131792254,1.0
57,0.5700000000000001,0.6286400480336235,1.0
58,0.58,0.6394476133293305,1.0
59,0.59,0.6493545481837286,1.0
60,0.6,0.6586610627439208,1.0
61,0.61,0.6679675773041128,1.0
62,0.62,0.677274091864305,1.0
63,0.63,0.6883818673071149,1.0
64,0.64,0.7003902731912338,1.0
65,0.65,0.7081957370159111,1.0
66,0.66,0.7148003602521765,1.0
67,0.67,0.7235064545181628,1.0
68,0.68,0.7304112879015311,1.0
69,0.6900000000000001,0.741819273491444,1.0
70,0.7000000000000001,0.752026418492945,1.0
71,0.71,0.7637346142299609,1.0
72,0.72,0.7709396577604323,1.0
73,0.73,0.7820474332032422,1.0
74,0.74,0.7916541579105374,1.0
75,0.75,0.8018613029120384,1.0
76,0.76,0.8126688682077454,1.0
77,0.77,0.8183728610027019,1.0
78,0.78,0.8267787451215851,1.0
79,0.79,0.8342839987991594,1.0
80,0.8,0.8444911438006605,1.0
81,0.81,0.8549984989492645,1.0
82,0.8200000000000001,0.8625037526268388,1.0
83,0.8300000000000001,0.8730111077754428,1.0
84,0.84,0.8829180426298409,1.0
85,0.85,0.8895226658661063,1.0
86,0.86,0.8967277093965776,1.0
87,0.87,0.9042329630741519,1.0
88,0.88,0.9114380066046233,1.0
89,0.89,0.9159411588111678,1.0
90,0.9,0.9228459921945362,1.0
91,0.91,0.9324527169018313,1.0
92,0.92,0.9402581807265086,1.0
93,0.93,0.9477634344040828,1.0
94,0.9400000000000001,0.9546682677874512,1.0
95,0.9500000000000001,0.9630741519063344,1.0
96,0.96,0.9693785649954968,1.0
97,0.97,0.9756829780846593,1.0
98,0.98,0.9813869708796157,1.0
99,0.99,0.989192434704293,1.0
100,1.0,1.0,1.0
