,besty,fracs,gains
0,0.0,0.0,0.0
1,0.04559270516717325,0.01,0.03221884498480243
2,0.0911854103343465,0.02,0.0668693009118541
3,0.13677811550151975,0.03,0.09969604863221884
4,0.182370820668693,0.04,0.13221884498480244
5,0.2279635258358663,0.05,0.160790273556231
6,0.2735562310030395,0.06,0.1884498480243161
7,0.3191489361702128,0.07,0.21610942249240123
8,0.364741641337386,0.08,0.24680851063829787
9,0.41033434650455924,0.09,0.27477203647416415
10,0.4559270516717326,0.1,0.3006079027355623
11,0.5015197568389058,0.11,0.3203647416413374
12,0.547112462006079,0.12,0.3455927051671733
13,0.5927051671732523,0.13,0.36717325227963526
14,0.6382978723404256,0.14,0.390273556231003
15,0.6838905775075987,0.15,0.4182370820668693
16,0.729483282674772,0.16,0.4349544072948328
17,0.7750759878419454,0.17,0.45683890577507597
18,0.8206686930091185,0.18,0.47386018237082067
19,0.8662613981762919,0.19,0.4869300911854103
20,0.9118541033434652,0.2,0.49969604863221884
21,0.9574468085106383,0.21,0.50790273556231
22,1.0,0.22,0.5197568389057751
23,1.0,0.23,0.5300911854103344
24,1.0,0.24,0.5428571428571428
25,1.0,0.25,0.5522796352583587
26,1.0,0.26,0.5632218844984802
27,1.0,0.27,0.5768996960486322
28,1.0,0.28,0.5872340425531914
29,1.0,0.29,0.5984802431610943
30,1.0,0.3,0.6088145896656535
31,1.0,0.31,0.6167173252279635
32,1.0,0.32,0.6261398176291794
33,1.0,0.33,0.6331306990881459
34,1.0,0.34,0.6382978723404256
35,1.0,0.35000000000000003,0.6449848024316109
36,1.0,0.36,0.6498480243161094
37,1.0,0.37,0.6550151975683891
38,1.0,0.38,0.6592705167173253
39,1.0,0.39,0.6650455927051672
40,1.0,0.4,0.6699088145896657
41,1.0,0.41000000000000003,0.6762917933130699
42,1.0,0.42,0.6802431610942249
43,1.0,0.43,0.6884498480243161
44,1.0,0.44,0.6954407294832827
45,1.0,0.45,0.7003039513677811
46,1.0,0.46,0.7051671732522796
47,1.0,0.47000000000000003,0.7103343465045593
48,1.0,0.48,0.7151975683890578
49,1.0,0.49,0.719452887537994
50,1.0,0.5,0.7246200607902735
51,1.0,0.51,0.7288753799392097
52,1.0,0.52,0.7331306990881459
53,1.0,0.53,0.7386018237082067
54,1.0,0.54,0.7428571428571429
55,1.0,0.55,0.7468085106382979
56,1.0,0.56,0.7501519756838906
57,1.0,0.5700000000000001,0.7544072948328268
58,1.0,0.58,0.7577507598784194
59,1.0,0.59,0.7610942249240121
60,1.0,0.6,0.7653495440729483
61,1.0,0.61,0.7680851063829788
62,1.0,0.62,0.7714285714285715
63,1.0,0.63,0.7750759878419453
64,1.0,0.64,0.7793313069908815
65,1.0,0.65,0.7826747720364742
66,1.0,0.66,0.7869300911854104
67,1.0,0.67,0.7908814589665654
68,1.0,0.68,0.7948328267477204
69,1.0,0.6900000000000001,0.8027355623100304
70,1.0,0.7000000000000001,0.8085106382978723
71,1.0,0.71,0.8158054711246201
72,1.0,0.72,0.8197568389057751
73,1.0,0.73,0.8264437689969605
74,1.0,0.74,0.8319148936170213
75,1.0,0.75,0.8382978723404255
76,1.0,0.76,0.8455927051671732
77,1.0,0.77,0.8498480243161094
78,1.0,0.78,0.8589665653495441
79,1.0,0.79,0.8650455927051671
80,1.0,0.8,0.8723404255319149
81,1.0,0.81,0.8793313069908815
82,1.0,0.8200000000000001,0.8860182370820668
83,1.0,0.8300000000000001,0.8951367781155015
84,1.0,0.84,0.9027355623100304
85,1.0,0.85,0.9097264437689969
86,1.0,0.86,0.9167173252279636
87,1.0,0.87,0.9237082066869301
88,1.0,0.88,0.9325227963525836
89,1.0,0.89,0.9379939209726443
90,1.0,0.9,0.9446808510638298
91,1.0,0.91,0.9513677811550152
92,1.0,0.92,0.9595744680851064
93,1.0,0.93,0.9668693009118541
94,1.0,0.9400000000000001,0.9723404255319149
95,1.0,0.9500000000000001,0.9768996960486322
96,1.0,0.96,0.9817629179331308
97,1.0,0.97,0.9878419452887538
98,1.0,0.98,0.9917933130699088
99,1.0,0.99,0.9963525835866262
100,1.0,1.0,1.0
