,besty,fracs,gains
0,0.0,0.0,0.0
1,0.04559270516717325,0.01,0.03252279635258359
2,0.0911854103343465,0.02,0.06747720364741641
3,0.13677811550151975,0.03,0.10151975683890578
4,0.182370820668693,0.04,0.13009118541033435
5,0.2279635258358663,0.05,0.15683890577507598
6,0.2735562310030395,0.06,0.1851063829787234
7,0.3191489361702128,0.07,0.21793313069908815
8,0.364741641337386,0.08,0.24498480243161094
9,0.41033434650455924,0.09,0.2689969604863222
10,0.4559270516717326,0.1,0.2939209726443769
11,0.5015197568389058,0.11,0.32066869300911854
12,0.547112462006079,0.12,0.34194528875379937
13,0.5927051671732523,0.13,0.3635258358662614
14,0.6382978723404256,0.14,0.3884498480243161
15,0.6838905775075987,0.15,0.41003039513677814
16,0.729483282674772,0.16,0.4328267477203647
17,0.7750759878419454,0.17,0.4522796352583587
18,0.8206686930091185,0.18,0.4702127659574468
19,0.8662613981762919,0.19,0.4860182370820669
20,0.9118541033434652,0.2,0.4978723404255319
21,0.9574468085106383,0.21,0.5091185410334347
22,1.0,0.22,0.5185410334346504
23,1.0,0.23,0.5294832826747721
24,1.0,0.24,0.5398176291793313
25,1.0,0.25,0.5480243161094225
26,1.0,0.26,0.5556231003039513
27,1.0,0.27,0.5632218844984802
28,1.0,0.28,0.5723404255319149
29,1.0,0.29,0.5790273556231003
30,1.0,0.3,0.5838905775075988
31,1.0,0.31,0.5911854103343465
32,1.0,0.32,0.5984802431610943
33,1.0,0.33,0.6069908814589665
34,1.0,0.34,0.6106382978723405
35,1.0,0.35000000000000003,0.6185410334346505
36,1.0,0.36,0.6240121580547112
37,1.0,0.37,0.6346504559270517
38,1.0,0.38,0.6404255319148936
39,1.0,0.39,0.6483282674772036
40,1.0,0.4,0.6553191489361702
41,1.0,0.41000000000000003,0.6632218844984803
42,1.0,0.42,0.672644376899696
43,1.0,0.43,0.6814589665653495
44,1.0,0.44,0.6884498480243161
45,1.0,0.45,0.6948328267477204
46,1.0,0.46,0.7006079027355623
47,1.0,0.47000000000000003,0.7063829787234043
48,1.0,0.48,0.7109422492401216
49,1.0,0.49,0.7167173252279635
50,1.0,0.5,0.7240121580547112
51,1.0,0.51,0.7285714285714285
52,1.0,0.52,0.7346504559270517
53,1.0,0.53,0.739209726443769
54,1.0,0.54,0.7462006079027356
55,1.0,0.55,0.7513677811550152
56,1.0,0.56,0.7565349544072948
57,1.0,0.5700000000000001,0.7635258358662614
58,1.0,0.58,0.7668693009118541
59,1.0,0.59,0.7717325227963526
60,1.0,0.6,0.7750759878419453
61,1.0,0.61,0.7808510638297872
62,1.0,0.62,0.7832826747720365
63,1.0,0.63,0.7869300911854104
64,1.0,0.64,0.7930091185410334
65,1.0,0.65,0.7963525835866262
66,1.0,0.66,0.8009118541033434
67,1.0,0.67,0.8054711246200608
68,1.0,0.68,0.8097264437689969
69,1.0,0.6900000000000001,0.8151975683890578
70,1.0,0.7000000000000001,0.8179331306990881
71,1.0,0.71,0.823404255319149
72,1.0,0.72,0.8303951367781155
73,1.0,0.73,0.8355623100303952
74,1.0,0.74,0.8404255319148937
75,1.0,0.75,0.8458966565349544
76,1.0,0.76,0.8516717325227964
77,1.0,0.77,0.8571428571428571
78,1.0,0.78,0.8617021276595744
79,1.0,0.79,0.8680851063829788
80,1.0,0.8,0.8759878419452888
81,1.0,0.81,0.8820668693009118
82,1.0,0.8200000000000001,0.8887537993920973
83,1.0,0.8300000000000001,0.8948328267477204
84,1.0,0.84,0.9009118541033435
85,1.0,0.85,0.9097264437689969
86,1.0,0.86,0.9170212765957447
87,1.0,0.87,0.9264437689969605
88,1.0,0.88,0.9334346504559271
89,1.0,0.89,0.9401215805471125
90,1.0,0.9,0.9486322188449848
91,1.0,0.91,0.9547112462006079
92,1.0,0.92,0.9595744680851064
93,1.0,0.93,0.9659574468085106
94,1.0,0.9400000000000001,0.9726443768996961
95,1.0,0.9500000000000001,0.9768996960486322
96,1.0,0.96,0.9820668693009118
97,1.0,0.97,0.9857142857142858
98,1.0,0.98,0.9914893617021276
99,1.0,0.99,0.996048632218845
100,1.0,1.0,1.0
