,fracs,gains,besty
0,0.0,0.0,0.0
1,0.01,0.004220681338558939,0.045221585770274346
2,0.02,0.00964727163099186,0.09044317154054869
3,0.03,0.012662044015676817,0.13566475731082303
4,0.04,0.017787157069641242,0.18088634308109738
5,0.05,0.0208019294543262,0.22610792885137174
6,0.06,0.02683147422369611,0.27132951462164606
7,0.07,0.03316249623153452,0.31655110039192047
8,0.08,0.03798613204703045,0.36177268616219477
9,0.09,0.046427494724148324,0.4069942719324691
10,0.1,0.05094965330117576,0.4522158577027435
11,0.11,0.05667772083207718,0.4974374434730178
12,0.12,0.06270726560144708,0.5426590292432921
13,0.13,0.07054567380162798,0.5878806150135665
14,0.14,0.07657521857099789,0.6331022007838409
15,0.15,0.08471510400964727,0.6783237865541152
16,0.16,0.0892372625866747,0.7235453723243895
17,0.17,0.09798010250226108,0.768766958094664
18,0.18,0.10431112451009948,0.8139885438649382
19,0.19,0.11305396442568585,0.8592101296352126
20,0.2,0.12119384986433525,0.904431715405487
21,0.21,0.12903225806451613,0.9496533011757613
22,0.22,0.13626771178776004,0.9948748869460357
23,0.23,0.14621646065722038,1.0
24,0.24,0.15405486885740127,1.0
25,0.25,0.16309918601145615,1.0
26,0.26,0.170937594211637,1.0
27,0.27,0.17817304793488092,1.0
28,0.28,0.18480554718118783,1.0
29,0.29,0.19083509195055773,1.0
30,0.3,0.19596020500452216,1.0
31,0.31,0.2059089538739825,1.0
32,0.32,0.22399758818209226,1.0
33,0.33,0.23515224600542659,1.0
34,0.34,0.24329213144407597,1.0
35,0.35000000000000003,0.2532408803135363,1.0
36,0.36,0.2622851974675912,1.0
37,0.37,0.27223394633705156,1.0
38,0.38,0.2821826952065119,1.0
39,0.39,0.2918299668375038,1.0
40,0.4,0.3029846246608381,1.0
41,0.41000000000000003,0.31413928248417244,1.0
42,0.42,0.32710280373831774,1.0
43,0.43,0.3388604160385891,1.0
44,0.44,0.3506180283388604,1.0
45,0.45,0.36086825444678927,1.0
46,0.46,0.3714199577931866,1.0
47,0.47000000000000003,0.38438347904733194,1.0
48,0.48,0.3937292734398553,1.0
49,0.49,0.4075972264094061,1.0
50,0.5,0.4199577931866144,1.0
51,0.51,0.43231835996382273,1.0
52,0.52,0.448296653602653,1.0
53,0.53,0.4624660838106723,1.0
54,0.54,0.47181187820319564,1.0
55,0.55,0.4826650587880615,1.0
56,0.56,0.4935182393729273,1.0
57,0.5700000000000001,0.5070847151040097,1.0
58,0.58,0.5215556225504975,1.0
59,0.59,0.5330117576123002,1.0
60,0.6,0.5477841422972566,1.0
61,0.61,0.5607476635514018,1.0
62,0.62,0.5788362978595116,1.0
63,0.63,0.5911968646367199,1.0
64,0.64,0.6047633403678022,1.0
65,0.65,0.6165209526680736,1.0
66,0.66,0.6276756104914079,1.0
67,0.67,0.6397347000301478,1.0
68,0.68,0.654507084715104,1.0
69,0.6900000000000001,0.6692794694000603,1.0
70,0.7000000000000001,0.6813385589388001,1.0
71,0.71,0.6933976484775399,1.0
72,0.72,0.7084715104009647,1.0
73,0.73,0.7211335544166415,1.0
74,0.74,0.7322882122399759,1.0
75,0.75,0.7449502562556527,1.0
76,0.76,0.7570093457943925,1.0
77,0.77,0.7687669580946639,1.0
78,0.78,0.7820319565872776,1.0
79,0.79,0.7916792282182695,1.0
80,0.8,0.8028338860416039,1.0
81,0.81,0.8145914983418752,1.0
82,0.8200000000000001,0.8263491106421466,1.0
83,0.8300000000000001,0.8341875188423274,1.0
84,0.84,0.8414229725655713,1.0
85,0.85,0.8510702441965632,1.0
86,0.86,0.8586071751582756,1.0
87,0.87,0.8691588785046729,1.0
88,0.88,0.8803135363280072,1.0
89,0.89,0.8884534217666566,1.0
90,0.9,0.8993066023515225,1.0
91,0.91,0.9101597829363883,1.0
92,0.92,0.9216159179981911,1.0
93,0.93,0.9303587579137775,1.0
94,0.9400000000000001,0.9424178474525173,1.0
95,0.9500000000000001,0.9526680735604461,1.0
96,0.96,0.9626168224299065,1.0
97,0.97,0.970756707868556,1.0
98,0.98,0.9794995477841423,1.0
99,0.99,0.9903527283690081,1.0
100,1.0,1.0,1.0
