,Test,Train
G0.1_C0.001_Krbf_D3_M10,0.2087254357934215,0.21534817251032673
G1.0_C0.001_Krbf_D3_M10,0.13719217006945902,0.14704880483937272
G0.1_C0.001_Klinear_D3_M10,0.12894127552094295,0.10967287249662297
G1.0_C0.001_Klinear_D3_M10,0.12894127552094295,0.10967287249662297
G0.1_C0.1_Klinear_D3_M10,0.1096840856470408,0.09563242692977815
G1.0_C0.1_Klinear_D3_M10,0.1096840856470408,0.09563242692977815
G1.0_C0.1_Krbf_D3_M10,-0.1379958286293795,-0.14590552260135864
G0.1_C0.1_Krbf_D3_M10,-0.20873308968446844,-0.21534817251032673
